City,State,ID,Population of City,Count
Alatna,AK,1,1,1
Alcan Border,AK,1,51,1
Aleknagik,AK,1,199,1
Aleneva,AK,1,59,1
Allakaket,AK,1,77,1
Ambler,AK,1,280,1
Anaktuvuk Pass,AK,1,247,1
Anchorage municipality,AK,1,299107,1
Anchor Point,AK,1,1951,1
Anderson,AK,1,201,1
Angoon,AK,1,382,1
Aniak,AK,1,525,1
Anvik,AK,1,87,1
Arctic Village,AK,1,138,1
Atka,AK,1,66,1
Atmautluak,AK,1,258,1
Atqasuk,AK,1,159,1
Attu Station,AK,1,16,1
Badger,AK,1,21197,1
Barrow,AK,1,4293,1
Bear Creek,AK,1,1824,1
Beaver,AK,1,60,1
Beluga,AK,1,6,1
Bethel,AK,1,6370,1
Bettles,AK,1,22,1
Big Delta,AK,1,539,1
Big Lake,AK,1,3815,1
Birch Creek,AK,1,1,1
Brevig Mission,AK,1,442,1
Buckland,AK,1,596,1
Buffalo Soapstone,AK,1,827,1
Butte,AK,1,3854,1
Cantwell,AK,1,209,1
Central,AK,1,58,1
Chalkyitsik,AK,1,101,1
Chase,AK,1,23,1
Chefornak,AK,1,516,1
Chena Ridge,AK,1,5473,1
Chenega,AK,1,66,1
Chevak,AK,1,1082,1
Chickaloon,AK,1,284,1
Chicken,AK,1,0,1
Chignik,AK,1,70,1
Chignik Lagoon,AK,1,73,1
Chignik Lake,AK,1,70,1
Chiniak,AK,1,23,1
Chisana,AK,1,0,1
Chistochina,AK,1,59,1
Chitina,AK,1,80,1
Chuathbaluk,AK,1,116,1
Circle,AK,1,118,1
Clam Gulch,AK,1,182,1
Clark's Point,AK,1,56,1
Ashland,AL,2,2667,1
Ashville,AL,2,2342,1
Athens,AL,2,23938,1
Atmore,AL,2,10072,1
Attalla,AL,2,5965,1
Auburn,AL,2,58693,1
Autaugaville,AL,2,1119,1
Avon,AL,2,594,1
Axis,AL,2,911,1
Babbie,AL,2,687,1
Baileyton,AL,2,909,1
Bakerhill,AL,2,209,1
Ballplay,AL,2,1535,1
Banks,AL,2,136,1
Bay Minette,AL,2,8843,1
Bayou La Batre,AL,2,2634,1
Bear Creek,AL,2,1296,1
Beatrice,AL,2,294,1
Beaverton,AL,2,273,1
Belgreen,AL,2,66,1
Belk,AL,2,289,1
Bellamy,AL,2,816,1
Belle Fontaine,AL,2,539,1
Benton,AL,2,49,1
Berry,AL,2,1392,1
Bessemer,AL,2,27043,1
Billingsley,AL,2,176,1
Birmingham,AL,2,212211,1
Black,AL,2,157,1
Blountsville,AL,2,1967,1
Blue Ridge,AL,2,1461,1
Blue Springs,AL,2,99,1
Boaz,AL,2,9673,1
Boligee,AL,2,640,1
Bon Air,AL,2,103,1
Bon Secour,AL,2,648,1
Boykin,AL,2,67,1
Brantley,AL,2,971,1
Brantleyville,AL,2,1111,1
Brent,AL,2,4898,1
Brewton,AL,2,5424,1
Bridgeport,AL,2,2300,1
Brighton,AL,2,2904,1
Brilliant,AL,2,908,1
Bristow Cove,AL,2,531,1
Brook Highland,AL,2,7032,1
Brookside,AL,2,1258,1
