Report of US Population from 2015
City                                     State      ID         Population of City                       Count     
Valdez                                   AK         1          3979                                     281       
Venetie                                  AK         1          177                                      282       
Wainwright                               AK         1          458                                      283       
Wales                                    AK         1          155                                      284       
Wasilla                                  AK         1          8676                                     285       
Whale Pass                               AK         1          16                                       286       
White Mountain                           AK         1          179                                      287       
Whitestone                               AK         1          195                                      288       
Whittier                                 AK         1          295                                      290       
Willow                                   AK         1          2085                                     291       
Willow Creek                             AK         1          8                                        292       
Wiseman                                  AK         1          11                                       293       
Womens Bay                               AK         1          852                                      294       
Wrangell city and borough                AK         1          2387                                     295       
Yakutat                                  AK         1          597                                      296       
Adak                                     AK         1          122                                      297       
Akhiok                                   AK         1          84                                       298       
Akiachak                                 AK         1          562                                      299       
Akiak                                    AK         1          399                                      300       
Akutan                                   AK         1          899                                      301       
Alakanuk                                 AK         1          777                                      302       
Alatna                                   AK         1          1                                        303       
Alcan Border                             AK         1          51                                       304       
Aleknagik                                AK         1          199                                      305       
Aleneva                                  AK         1          59                                       306       
Allakaket                                AK         1          77                                       307       
Ambler                                   AK         1          280                                      308       
Anaktuvuk Pass                           AK         1          247                                      309       
Anchorage municipality                   AK         1          299107                                   310       
Anchor Point                             AK         1          1951                                     311       
Anderson                                 AK         1          201                                      312       
Angoon                                   AK         1          382                                      313       
Aniak                                    AK         1          525                                      314       
Anvik                                    AK         1          87                                       315       
Arctic Village                           AK         1          138                                      316       
Atka                                     AK         1          66                                       317       
Atmautluak                               AK         1          258                                      318       
Atqasuk                                  AK         1          159                                      319       
Attu Station                             AK         1          16                                       320       
Badger                                   AK         1          21197                                    321       
Barrow                                   AK         1          4293                                     322       
Bear Creek                               AK         1          1824                                     323       
Beaver                                   AK         1          60                                       324       
Beluga                                   AK         1          6                                        325       
Bethel                                   AK         1          6370                                     326       
Bettles                                  AK         1          22                                       327       
Big Delta                                AK         1          539                                      328       
Big Lake                                 AK         1          3815                                     329       
Birch Creek                              AK         1          1                                        330       
Brevig Mission                           AK         1          442                                      331       
Buckland                                 AK         1          596                                      332       
Buffalo Soapstone                        AK         1          827                                      333       
Butte                                    AK         1          3854                                     334       
Cantwell                                 AK         1          209                                      335       
Central                                  AK         1          58                                       336       
Chalkyitsik                              AK         1          101                                      337       
Chase                                    AK         1          23                                       338       
Chefornak                                AK         1          516                                      339       
Chena Ridge                              AK         1          5473                                     340       
Chenega                                  AK         1          66                                       341       
Chevak                                   AK         1          1082                                     342       
Chickaloon                               AK         1          284                                      343       
Chignik                                  AK         1          70                                       345       
Chignik Lagoon                           AK         1          73                                       346       
Chignik Lake                             AK         1          70                                       347       
Chiniak                                  AK         1          23                                       348       
Chistochina                              AK         1          59                                       350       
Chitina                                  AK         1          80                                       351       
Chuathbaluk                              AK         1          116                                      352       
Circle                                   AK         1          118                                      353       
Clam Gulch                               AK         1          182                                      354       
Clark's Point                            AK         1          56                                       355       
Ashland                                  AL         2          2667                                     356       
Ashville                                 AL         2          2342                                     357       
Athens                                   AL         2          23938                                    358       
Atmore                                   AL         2          10072                                    359       
Attalla                                  AL         2          5965                                     360       
Auburn                                   AL         2          58693                                    361       
Autaugaville                             AL         2          1119                                     362       
Avon                                     AL         2          594                                      363       
Axis                                     AL         2          911                                      364       
Babbie                                   AL         2          687                                      365       
Baileyton                                AL         2          909                                      366       
Bakerhill                                AL         2          209                                      367       
Ballplay                                 AL         2          1535                                     368       
Banks                                    AL         2          136                                      369       
Bay Minette                              AL         2          8843                                     370       
Bayou La Batre                           AL         2          2634                                     371       
Bear Creek                               AL         2          1296                                     372       
Beatrice                                 AL         2          294                                      373       
Beaverton                                AL         2          273                                      374       
Belgreen                                 AL         2          66                                       375       
Belk                                     AL         2          289                                      376       
Bellamy                                  AL         2          816                                      377       
Belle Fontaine                           AL         2          539                                      378       
Benton                                   AL         2          49                                       379       
Berry                                    AL         2          1392                                     380       
Bessemer                                 AL         2          27043                                    381       
Billingsley                              AL         2          176                                      382       
Birmingham                               AL         2          212211                                   383       
Black                                    AL         2          157                                      384       
Blountsville                             AL         2          1967                                     385       
Blue Ridge                               AL         2          1461                                     386       
Blue Springs                             AL         2          99                                       387       
Boaz                                     AL         2          9673                                     388       
Boligee                                  AL         2          640                                      389       
Bon Air                                  AL         2          103                                      390       
Bon Secour                               AL         2          648                                      391       
Boykin                                   AL         2          67                                       392       
Brantley                                 AL         2          971                                      393       
Brantleyville                            AL         2          1111                                     394       
Brent                                    AL         2          4898                                     395       
Brewton                                  AL         2          5424                                     396       
Bridgeport                               AL         2          2300                                     397       
Brighton                                 AL         2          2904                                     398       
Brilliant                                AL         2          908                                      399       
Bristow Cove                             AL         2          531                                      400       
Brook Highland                           AL         2          7032                                     401       
Brookside                                AL         2          1258                                     402       
Brookwood                                AL         2          1932                                     403       
Broomtown                                AL         2          160                                      404       
Brundidge                                AL         2          2189                                     405       
Bucks                                    AL         2          50                                       406       
Butler                                   AL         2          2360                                     407       
Calera                                   AL         2          12593                                    408       
Calvert                                  AL         2          394                                      409       
Camden                                   AL         2          2721                                     410       
